Original Index,Sample Date,Lab Sample ID,Analyte,Reporting Value,Result,coordinates,x,y
37,10/9/2023,380-69706-1,,All VOCs are ND (Non-detect) ,,"[-156.672775642573, 20.8839763337363]",-156.672775642573,20.8839763337363
37,11/02/23,380-69706-1,,All SVOCs are ND (Non-detect) ,,"[-156.672775642573, 20.8839763337363]",-156.672775642573,20.8839763337363
37,11/02/23,380-69708-2,,All VOCs are ND (Non-detect),,"[-156.672775642573, 20.8839763337363]",-156.672775642573,20.8839763337363
38,10/9/2023,380-66548-2,,All VOCs are ND (Non-detect) ,,"[-156.671579004455, 20.8837302818634]",-156.671579004455,20.8837302818634
38,10/16/2023,380-67545-6,,All VOCs are ND (Non-detect) ,,"[-156.671579004455, 20.8837302818634]",-156.671579004455,20.8837302818634
38,11/02/23,380-69706-3,,All SVOCs are ND (Non-detect) ,,"[-156.671579004455, 20.8837302818634]",-156.671579004455,20.8837302818634
38,11/02/23,380-69708-5,,All VOCs are ND (Non-detect),,"[-156.671579004455, 20.8837302818634]",-156.671579004455,20.8837302818634
39,10/9/2023,380-67539-1,,All VOCs are ND (Non-detect) ,,"[-156.671662319535, 20.8838503498145]",-156.671662319535,20.8838503498145
39,10/16/2023,380-67539-1,,All SVOCs are ND (Non-detect) ,,"[-156.671662319535, 20.8838503498145]",-156.671662319535,20.8838503498145
39,10/16/23,380-67513-7,Benzene,,4.5,"[-156.671662319535, 20.8838503498145]",-156.671662319535,20.8838503498145
40,10/9/2023,380-66556-1,,All SVOCs are ND (Non-detect)  ,,"[-156.674614050737, 20.8826601598038]",-156.674614050737,20.8826601598038
40,10/26/23,380-69054-1,,All SVOCs are ND (Non-detect)  ,,"[-156.674614050737, 20.8826601598038]",-156.674614050737,20.8826601598038
40,11/02/23,380-69710-1,,All VOCs are ND (Non-detect) ,,"[-156.674614050737, 20.8826601598038]",-156.674614050737,20.8826601598038
40,11/02/23,380-69707-1,,All SVOCs are ND (Non-detect) ,,"[-156.674614050737, 20.8826601598038]",-156.674614050737,20.8826601598038
41,10/9/2023,380-66556-2,,All SVOCs are ND (Non-detect) ,,"[-156.674548813547, 20.8827031202798]",-156.674548813547,20.8827031202798
41,10/26/23,380-69054-1,,All SVOCs are ND (Non-detect) ,,"[-156.674548813547, 20.8827031202798]",-156.674548813547,20.8827031202798
41,11/02/23,380-69710-2,,All VOCs are ND (Non-detect) ,,"[-156.674548813547, 20.8827031202798]",-156.674548813547,20.8827031202798
41,11/02/23,380-69707-1,,All SVOCs are ND (Non-detect) ,,"[-156.674548813547, 20.8827031202798]",-156.674548813547,20.8827031202798
42,10/9/2023,380-66556-3,,All VOCs are ND (Non-detect) ,,"[-156.674693027914, 20.8828728611858]",-156.674693027914,20.8828728611858
42,11/02/23,380-69710-3,,All VOCs are ND (Non-detect) ,,"[-156.674693027914, 20.8828728611858]",-156.674693027914,20.8828728611858
42,11/02/23,380-69707-2,,All SVOCs are ND (Non-detect) ,,"[-156.674693027914, 20.8828728611858]",-156.674693027914,20.8828728611858
43,10/9/2023,380-66556-4,,All VOCs are ND (Non-detect) ,,"[-156.674656478811, 20.8828890173363]",-156.674656478811,20.8828890173363
43,11/02/23,380-69710-4,,All VOCs are ND (Non-detect) ,,"[-156.674656478811, 20.8828890173363]",-156.674656478811,20.8828890173363
43,11/02/23,380-69707-2,,All SVOCs are ND (Non-detect) ,,"[-156.674656478811, 20.8828890173363]",-156.674656478811,20.8828890173363
44,10/9/2023,380-66556-6,,All VOCs are ND (Non-detect) ,,"[-156.674401221672, 20.8830854274917]",-156.674401221672,20.8830854274917
44,11/02/23,380-69710-5,,All VOCs are ND (Non-detect) ,,"[-156.674401221672, 20.8830854274917]",-156.674401221672,20.8830854274917
44,11/02/23,380-69707-3,,All SVOCs are ND (Non-detect) ,,"[-156.674401221672, 20.8830854274917]",-156.674401221672,20.8830854274917
45,10/9/2023,380-66556-7,,All VOCs are ND (Non-detect) ,,"[-156.674366637876, 20.8831103961765]",-156.674366637876,20.8831103961765
45,11/02/23,380-69710-6,,All VOCs are ND (Non-detect) ,,"[-156.674366637876, 20.8831103961765]",-156.674366637876,20.8831103961765
